participant_id,trial_order,condition,laptime_total_seconds,speed_mean_kmh_overall,cte_absmean_meters_overall,cte_absmean_meters_straight,cte_absmean_meters_shortturn,cte_absmean_meters_longturn,cte_sd_meters_overall,cte_sd_meters_straight,cte_sd_meters_shortturn,cte_sd_meters_longturn,cte_sd_meters_manual,cte_sd_meters_warning,cte_sd_meters_intervention,headingerror_absmean_deg_overall,headingerror_absmean_deg_straight,headingerror_absmean_deg_shortturn,headingerror_absmean_deg_longturn,headingerror_absmean_deg_manual,headingerror_absmean_deg_warning,headingerror_absmean_deg_intervention,headingerror_sd_deg_overall,headingerror_sd_deg_straight,headingerror_sd_deg_shortturn,headingerror_sd_deg_longturn,headingerror_sd_deg_manual,headingerror_sd_deg_warning,headingerror_sd_deg_intervention,steeringangle_sd_deg_overall,steeringangle_sd_deg_straight,steeringangle_sd_deg_shortturn,steeringangle_sd_deg_longturn,steeringangle_sd_deg_manual,steeringangle_sd_deg_warning,steeringangle_sd_deg_intervention,steeringreversal_perminute_overall,steeringreversal_perminute_manual,steeringreversal_perminute_warning,steeringreversal_perminute_intervention,steeringreversal_perminute_straight,steeringreversal_perminute_shortturn,steeringreversal_perminute_longturn,lka_switch_percenttime_overall,activelkaeffort_absmean_overall,activelkaeffort_absmean_straight,activelkaeffort_absmean_shortturn,activelkaeffort_absmean_longturn,percenttime_manual,percenttime_warning,percenttime_intervention,nback_hitrate_percent,nback_farate_percent,nback_accuracy_corrected_percent,nback_reactiontime_penalized_seconds,nback_processingspeed_inverseseconds
6,6,HapticsFixed,109.7916,11.3886,0.4115,0.3495,0.2009,0.6431,0.2585,0.2217,0.229,0.0384,0.0975,0.0734,0.0627,1.5053,1.0339,3.2654,1.1628,2.0528,2.0227,1.0773,2.1891,1.705,3.7522,1.1191,2.8916,2.8436,1.4195,3.3134,1.3781,6.1898,2.0246,4.7857,2.8085,2.2278,480.4656,254.2469,849.7979,496.4029,510.0875,423.4676,468.4213,100.0,0.1362,0.0632,0.1244,0.1908,28.9906,15.3554,55.6539,20.0,3.8095,16.1905,1.1111,0.9
7,3,HapticsFixed,152.6111,8.1715,0.2169,0.1815,0.4863,0.0738,0.2847,0.2331,0.2626,0.1172,0.1121,0.3252,0.0704,1.7506,1.1551,3.5645,1.4172,1.2588,2.9078,2.926,2.486,1.5343,4.2151,1.5006,1.8734,3.5306,3.0026,3.4362,1.5515,6.5556,1.1786,1.8744,4.6781,3.4674,394.7702,287.0252,743.7659,560.6579,355.85,512.1019,373.9068,100.0,0.2214,0.1609,0.2366,,70.3431,14.5236,15.1333,40.0,0.0,40.0,0.5694,5.6241
7,4,HapticsFixed,131.0833,9.4396,0.1644,0.1225,0.1617,0.2286,0.1647,0.1495,0.1947,0.0626,0.1353,0.1712,,1.3558,0.8182,2.9614,1.1798,1.2617,1.7357,,1.9481,1.1331,3.5197,1.1488,1.921,2.0509,,3.174,0.9763,6.1416,1.6275,3.0265,3.6949,,333.8361,246.4968,686.4093,,306.0841,402.7846,333.2419,100.0,,,,,80.1462,19.8538,0.0,57.1429,0.0,57.1429,0.9132,1.114
8,2,HapticsFixed,108.9722,11.4396,0.4664,0.3693,0.4024,0.6366,0.3077,0.1405,0.4651,0.0478,0.1316,0.2267,0.3087,1.7751,0.8926,4.7509,1.2563,2.1207,1.867,1.6169,3.6072,1.4081,7.6058,1.2677,4.6429,3.9129,2.9954,4.0188,1.1966,8.1249,1.9188,2.5713,4.6457,3.8488,494.5298,289.1304,552.5754,523.5313,475.1401,480.8588,529.0204,100.0,0.157,0.055,0.2372,0.1837,16.1718,30.6614,53.1668,80.0,3.8462,76.1538,0.8264,1.4954
8,5,HapticsFixed,105.3611,11.7955,0.3414,0.3882,0.4293,0.192,0.2474,0.1833,0.3851,0.1289,0.1118,0.0682,0.1382,2.0685,1.7876,3.6062,1.518,2.0674,1.7954,2.3844,3.023,2.6464,4.8292,1.6033,2.5822,2.54,3.9174,3.5983,2.2858,6.4725,1.5648,3.2387,2.2716,4.7749,531.9588,343.1389,655.2701,667.8898,611.3843,435.7214,450.192,10.9002,0.1854,0.1037,0.345,,40.6221,31.778,27.5998,25.0,4.902,20.098,0.625,1.6
9,1,HapticsFixed,153.8889,8.0527,0.0754,0.0563,0.1608,0.0563,0.1018,0.0688,0.1855,0.0655,0.0849,0.1828,,1.047,0.5574,2.6719,0.9071,1.0001,2.5975,,1.5514,0.7636,3.127,0.8293,1.4376,2.6412,,2.9564,0.9581,5.9533,1.4123,2.6615,3.0729,,238.791,231.5589,478.1406,,256.6716,236.2607,208.4583,100.0,,,,,97.0671,2.9329,0.0,37.5,3.4483,34.0517,1.3519,0.7486
9,6,HapticsFixed,117.2639,10.571,0.1073,0.0894,0.1932,0.1075,0.1347,0.1114,0.2172,0.0852,0.1092,0.2995,,1.2743,0.8727,3.0197,1.3762,1.1764,2.5189,,1.8379,1.2347,3.2828,1.6056,1.7103,2.9743,,3.5544,2.8738,6.0528,1.6334,3.4192,4.8581,,406.4015,388.7539,630.6643,,482.761,364.8879,225.1358,100.0,,,,,92.7049,7.2951,0.0,0.0,0.885,-0.885,1.5,0.0
10,2,HapticsFixed,103.7083,11.9083,0.1579,0.0941,0.2866,0.186,0.1962,0.1128,0.2956,0.1254,0.1233,0.3184,0.5198,1.3052,0.7608,2.7423,1.3264,0.9517,2.6958,2.1136,1.9804,1.3112,3.2306,1.682,1.3849,3.4308,2.6177,2.949,0.9019,5.9269,1.3676,2.0227,4.9716,4.6015,353.7395,231.3482,766.2875,1183.9671,304.6313,561.5761,305.2499,100.0,0.0437,,0.0378,0.0522,78.9502,18.7065,2.3433,50.0,2.0202,47.9798,1.3403,0.7506
10,4,HapticsFixed,100.1528,12.3446,0.1537,0.0996,0.2474,0.1887,0.1614,0.1149,0.2687,0.0574,0.1174,0.2756,0.0222,1.3623,0.7973,3.0686,1.2592,1.2301,2.164,2.6504,2.0681,1.1771,3.8167,1.3525,1.8517,3.0108,2.9643,2.9762,0.7584,6.1033,1.1839,2.8144,3.5651,0.4366,365.6975,275.1556,955.0301,729.5572,310.9671,427.2242,422.6704,100.0,0.0645,,0.0645,,86.3561,12.6595,0.9845,66.6667,1.0309,65.6357,1.3403,0.7471
11,2,HapticsFixed,112.3056,10.9757,0.2744,0.2103,0.3497,0.3411,0.184,0.1283,0.3284,0.0467,0.1214,0.1385,0.0238,1.234,0.7241,2.7772,1.1802,0.9283,1.4307,2.8363,1.8659,1.0305,3.4336,1.2839,1.5883,1.8531,2.8797,2.9635,0.8141,6.0487,1.3523,2.3645,2.7788,1.4703,949.5656,246.2201,1452.7733,1337.5215,635.929,733.0536,1638.3709,100.0,0.0686,,0.0686,,41.6224,57.4997,0.878,0.0,1.8519,-1.8519,1.5,0.0
11,5,HapticsFixed,114.0139,10.8654,0.1937,0.2003,0.3024,0.1139,0.2012,0.0913,0.3084,0.1384,0.1321,0.3182,,1.3891,1.0906,2.6447,1.2016,1.1351,2.0599,2.53,2.0845,1.8759,3.3314,1.2886,1.8198,2.6031,,2.91,1.226,6.05,1.384,2.1796,4.1486,,477.9222,280.5212,999.6617,0.0,525.6595,659.8543,272.4855,100.0,0.0005,,0.0005,,72.5335,27.4543,0.0122,16.6667,2.7778,13.8889,1.3611,0.7347
12,1,HapticsFixed,126.7361,9.77,0.1766,0.1473,0.2401,0.1888,0.2481,0.2432,0.2608,0.1543,0.1361,0.3016,0.6886,2.0679,2.0975,2.6637,1.5381,1.5824,2.6404,12.3091,4.1917,5.1265,3.1807,1.646,2.8288,4.3639,13.0934,3.5507,2.6196,5.7955,1.5708,3.0847,4.8772,4.7742,330.6231,248.7522,612.7823,701.4388,249.7679,469.395,393.5892,100.0,0.4463,0.7102,0.0167,0.0118,78.1503,19.2198,2.6298,0.0,0.813,-0.813,1.5,0.0
12,6,HapticsFixed,85.9584,14.4214,0.2628,0.1963,0.3322,0.3229,0.3546,0.3113,0.3206,0.4099,0.1186,0.3634,0.7037,3.0708,2.7619,2.5934,3.7975,2.2882,3.915,4.6211,4.3489,4.2721,3.3245,4.8554,3.4334,5.2595,5.5926,3.6376,2.2995,6.0548,2.8431,2.9332,3.9525,4.7532,361.2231,262.0005,529.1634,474.6579,344.0105,444.9656,340.0529,100.0,0.2538,0.3211,0.0451,0.2476,59.3538,23.4572,17.189,0.0,1.2195,-1.2195,1.5,0.0
13,3,HapticsFixed,161.6667,7.6557,0.2193,0.237,0.2092,0.1951,0.123,0.099,0.1797,0.1008,0.0803,0.1115,0.0192,1.7695,1.1676,3.1046,1.9496,1.754,1.7739,2.4453,2.3955,1.5338,3.6071,2.468,2.3184,2.5357,3.0595,3.9829,2.0776,6.5725,3.7719,4.0523,3.6309,6.375,315.1847,215.3476,550.4236,397.2282,348.7608,363.5801,225.2002,100.0,0.0294,,0.0149,0.0564,69.5645,29.0353,1.4002,20.0,3.2051,16.7949,1.1666,0.8572
13,4,HapticsFixed,154.8333,8.0363,0.1154,0.1099,0.1654,0.0951,0.1367,0.1269,0.1747,0.1253,0.106,0.3183,0.0108,2.0697,1.7173,3.2487,1.9825,1.8811,4.1291,8.085,3.0102,2.5446,3.6996,3.0779,2.6744,5.4384,3.4823,4.877,4.0392,7.1845,3.9511,4.0456,9.9055,2.3704,248.1753,225.1308,495.68,1079.1367,266.9269,270.596,201.3778,100.0,0.0319,,,0.0319,92.1787,7.4984,0.3229,25.0,2.7211,22.2789,1.1736,0.8572
14,2,HapticsFixed,117.1527,10.6028,0.2109,0.2448,0.1992,0.1647,0.1602,0.1086,0.2398,0.1176,0.1226,0.1166,,1.4776,1.1506,2.3564,1.5322,1.4245,1.591,,1.8879,1.6424,2.7626,1.4329,1.6799,2.2076,,3.0989,1.6678,5.9478,1.7329,2.7664,3.4233,,465.1187,343.2507,725.578,,548.8253,364.0461,388.0217,100.0,,,,,68.1247,31.8753,0.0,50.0,5.4054,44.5946,0.7871,1.3063
14,5,HapticsFixed,98.6112,12.5409,0.2155,0.1874,0.1743,0.3121,0.1589,0.1132,0.1944,0.1374,0.1013,0.1292,0.0336,2.2245,2.3661,2.4956,1.6954,2.5244,1.6993,3.7022,2.823,3.1261,2.889,1.8083,2.9244,2.5156,3.6762,3.3291,2.3732,5.9499,1.565,3.4426,2.9014,6.598,483.2636,314.5044,728.0733,863.3094,466.2116,246.2334,684.3306,100.0,0.0869,0.0758,,0.091,59.724,38.6565,1.6195,0.0,3.125,-3.125,1.5,0.0
16,3,HapticsFixed,98.8889,12.5491,0.0708,0.0664,0.0873,0.0686,0.0887,0.0731,0.1034,0.1003,0.0845,0.0148,,1.2085,0.9498,2.0992,1.1144,1.211,1.0161,,1.5841,1.2084,2.3645,1.3683,1.5881,1.0858,,3.0421,1.2836,5.9996,1.5749,3.0521,1.2845,,232.7698,227.7683,623.5012,,239.1405,205.5498,238.1013,100.0,,,,,98.7361,1.2639,0.0,20.0,2.1277,17.8723,1.5,0.6667
16,4,HapticsFixed,125.4584,9.8958,0.0836,0.0753,0.1257,0.078,0.1036,0.0894,0.1611,0.0735,0.0926,0.3182,,1.0966,0.6735,2.5589,1.2348,1.0511,2.9983,,1.615,0.8982,3.2043,1.1364,1.512,3.9803,,2.904,1.1679,5.9433,1.5687,2.7463,6.6715,,339.246,337.5742,409.1514,,426.955,216.7837,202.368,12.5083,,,,,97.6644,2.3356,0.0,50.0,2.4793,47.5207,1.3403,0.7534
5,3,HapticsAdaptive,127.9862,9.6942,0.271,0.3497,0.1668,0.1957,0.2844,0.2721,0.2076,0.2541,0.1212,0.3194,0.4398,2.0017,1.1733,3.5778,2.4873,2.3741,1.6797,1.4734,2.7372,1.7129,4.3162,2.6861,2.9099,2.6021,2.2745,3.3028,1.4845,6.2401,2.3413,3.7274,2.9225,1.7678,347.5345,301.5477,312.3335,657.6456,378.2679,345.4246,293.4671,100.0,0.072,0.0651,0.0593,0.1114,49.8589,38.3898,11.7513,50.0,4.4643,45.5357,0.9583,1.119
5,6,HapticsAdaptive,113.5278,10.9255,0.3082,0.4225,0.2277,0.1639,0.312,0.2695,0.2598,0.1847,0.1485,0.169,0.1665,1.9094,1.6898,2.6061,1.8666,2.0345,1.9522,1.4865,2.4864,2.277,3.05,2.1138,2.5913,2.4252,1.9731,3.3693,1.8489,6.1139,2.3083,3.093,3.7447,1.9671,342.6837,314.0398,349.7415,413.4077,380.6297,359.7122,269.0297,0.0,0.2673,0.2852,0.0722,,52.7951,28.685,18.5199,60.0,3.1579,56.8421,0.8009,1.2741
